,year,steel,exports,L1_steel,comms,educ,energy,health,oda,oof,total,transport,oda_amount,oof_amount,total_amount,transport_amount
2,2000,128500,,123.954,2.0,17.0,6.0,7.0,79.0,5.0,86.0,8.0,849.2213885833332,386.62172100000004,1255.7959525833337,257.12
3,2001,151634,,128.5,11.0,6.0,7.0,15.0,85.0,12.0,102.0,21.0,573.4194147916668,1560.4787725,2159.7705102916675,478.51
4,2002,182366,15.713,151.634,7.0,9.0,6.0,26.0,84.0,3.0,101.0,7.0,766.4052720000002,460.8499315,1228.6180895000002,256.15
5,2003,222336,19.851,182.366,8.0,6.0,26.0,23.0,122.0,38.0,206.0,68.0,947.6574860000002,3556.5290745,5099.055757,326.72999999999996
6,2004,272798,25.123,222.336,6.0,17.0,12.0,28.0,116.0,16.0,152.0,27.0,340.3905691666667,1762.8912399999992,2766.6101731666654,720.87
7,2005,355790,32.03,272.798,6.0,19.0,24.0,50.0,115.0,66.0,216.0,20.0,1143.0277325000002,3176.1533515,5465.770822999998,1535.32
8,2006,421024,42.231,355.79,22.0,54.0,39.0,44.0,218.0,95.0,383.0,97.0,4121.935032999997,2896.4281715000006,9816.105650880949,3851.8899999999994
9,2007,489712,50.428,421.024,83.0,42.0,36.0,55.0,281.0,70.0,408.0,67.0,2029.0207515333339,6951.598136999999,10759.938098487877,3827.5800000000004
10,2008,512339,56.068,489.712,92.0,51.0,19.0,67.0,295.0,58.0,397.0,87.0,1656.0243130086214,3373.676721,7441.68962092291,3187.6599999999994
11,2009,577070,44.71,512.339,1.0,43.0,33.0,83.0,232.0,64.0,372.0,119.0,4480.249766255553,11830.6532415,19408.391328005557,4075.92
12,2010,638743,62.01,577.07,56.0,40.0,33.0,75.0,286.0,76.0,411.0,68.0,2131.195444179368,9446.582777166668,15336.336618488896,1858.2800000000004
13,2011,701968,71.46,638.743,11.0,34.0,32.0,46.0,187.0,68.0,306.0,93.0,4527.936436133335,10307.524432,20058.690014133317,7107.299999999997
14,2012,731040,69.431,701.968,15.0,53.0,34.0,43.0,214.0,106.0,372.0,136.0,6389.233417333333,13029.760650999999,20986.783417444436,11252.34
15,2013,822000,67.239,731.04,13.0,35.0,17.0,46.0,185.0,56.0,284.0,96.0,3927.563247333333,6618.403643,15875.061417333336,6244.490000000001
16,2014,822306,67.458,822.0,2.0,30.0,24.0,53.0,171.0,51.0,281.0,128.0,3867.608145666666,15537.735422,24177.090955666663,12467.589999999998
17,2015,803825,70.455,822.306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2016,807609,71.053,803.825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2017,870855,79.445,807.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
